"","tank","trial.date","pop","food.treat","avgspeed","maxspeed","max.accel","swimming.time","freezing.time","burst.swimming.time","tot.dist.traveled","avg.d.from.center","prop.d.from.center","bday","time.mother.in.food.treat","mother.SL.mm","brood.size","age","PC1","PC2","PC3","PC4","PC5","week.of.measure","mom.sl.2"
"19","02-BON-L",2019-07-08,"BON","L",1.4467618824555,18.9399371750911,14.3430810771966,44.3666666666667,76.0666666666667,0.133333333333333,174.431257628051,32.5291899105796,0.701767331066797,2019-06-21,0,NA,12,17,-1.40725405420476,-0.425610844857805,0.41906583597081,0.0205873576090508,-0.0172618209802579,3,49.7627118644068
"21","35-BON-L",2019-07-08,"BON","L",1.96758509020654,22.2478294086136,19.8095509924479,64.9,55.7,0.333333333333333,237.946623575645,28.0360649099254,0.604835057360434,2019-06-30,6,65,33,8,-1.39712589979818,-0.49206779189111,-0.107420317996691,0.0233956574186311,-0.0274306420610371,2,65
"22","40-BON-L",2019-07-08,"BON","L",1.99966120198981,14.9185783962317,13.7779217734684,72.2333333333333,48.1333333333333,0,240.692553346173,44.3783580213393,0.957394941324168,2019-06-24,0,37,3,14,-0.954419693173042,0.119278085084191,1.54553900622014,0.0366727616931826,-0.0157012984527676,2,37
"23","01-BON-L",2019-07-16,"BON","L",3.56038202658689,43.6452316983198,27.7059307059843,71.0333333333333,46.5333333333333,2.9,428.907354802834,23.8621289859982,0.514788797941426,2019-07-08,14,NA,22,8,-1.10192846351881,-0.356519116095566,-0.744776382196017,0.0393418002814973,-0.0136128528174477,2,49.7627118644068
"24","02-BON-L",2019-07-16,"BON","L",7.64590309036358,38.7775365389073,22.0124474645248,88.4333333333333,16.5666666666667,15.5666666666667,921.841049261503,28.2552385632553,0.609563392439182,2019-06-21,0,NA,12,25,-0.0285295093176169,0.650769052202596,-0.860147277036007,0.0914666095384577,-0.0239058363342551,4,49.7627118644068
"25","09-BON-L",2019-07-16,"BON","L",4.01790899377342,34.4041822186928,26.6033240049096,77.4,29,3,439.559243918812,36.6457256774592,0.790575270222533,2019-06-21,0,NA,14,25,-0.697349136887814,0.170428501689999,0.515657440707862,-0.00990736516335123,-0.0128314730504367,4,49.7627118644068
"27","12-BON-H",2019-07-16,"BON","H",2.54194105279316,33.7370125446198,19.6638186665637,66.4666666666667,53.4666666666667,1.23333333333333,307.998524230105,26.2280284430043,0.565829446419904,2019-06-22,0,66,25,24,-1.29709445871476,-0.453774355394599,-0.368766348852376,0.031731686166989,-0.0105550254145709,4,66
"28","13-BON-H",2019-07-16,"BON","H",2.36951753193657,30.1243618307208,20.3221712027018,61.3333333333333,57.3666666666667,1.63333333333333,285.131943009701,15.3340295289578,0.330808145134177,2019-07-02,8,46,6,14,-1.64528225506115,-0.878998193053778,-1.44976373942042,0.0159387535782954,-0.0262012776363476,2,46
"30","18-BON-L",2019-07-16,"BON","L",15.2853011180647,2647.10242895657,2637.24193263259,76.0666666666667,11.3333333333333,23.2,1690.55430365795,42.7140952374567,0.921491026863046,2019-07-08,14,45,7,8,8.49921935215966,-4.41831839020999,0.37211666940398,0.0691621841820966,-0.276085104601693,2,45
"31","21-BON-H",2019-07-16,"BON","H",2.21494676374071,24.4904920257276,19.2826473936228,70.9666666666667,49.3666666666667,0.233333333333333,267.048748148339,30.5352396127231,0.658750914652705,2019-06-26,2,NA,8,20,-1.26817021590216,-0.354453536334673,0.112937691836672,0.0280119957026161,-0.0212566332748131,3,49.7627118644068
"32","22-BON-H",2019-07-16,"BON","H",9.0130180909113,1287.42353902772,780.863884083997,84.4666666666667,16.2333333333333,19.6666666666667,1084.86694420936,36.5295705751614,0.78806940222049,2019-06-27,3,67,48,19,2.99693162162383,-1.44805113350404,0.0580432553673881,0.230762924298491,0.778145493041122,3,67
"34","27-BON-L",2019-07-16,"BON","L",2.86637430397758,25.8797115379646,21.9483427065662,72.7333333333333,40.2666666666667,1.33333333333333,327.72212875477,26.4049664286088,0.569646611810846,2019-06-27,3,45,5,19,-1.24184216851497,-0.391486962488684,-0.384007912150539,0.00567793745185919,-0.0271235283519607,3,45
"35","29-BON-H",2019-07-16,"BON","H",2.18115412512029,21.1816719758196,14.8039149654051,61.7666666666667,58.4,0.533333333333333,263.265302902019,33.5911301515837,0.724677061396096,2019-07-02,8,46,7,14,-1.20087400616862,-0.240654866514311,0.426413986611645,0.03089234456151,-0.0161560064992844,2,46
"37","35-BON-L",2019-07-16,"BON","L",1.38552986410873,17.1764670525743,17.1764670525743,52.7666666666667,65.7666666666667,0.233333333333333,164.554763527314,32.279187950747,0.696373922605182,2019-06-30,6,65,33,16,-1.42969881960693,-0.450987651549835,0.403848487494674,0.0152773883444801,-0.025310404793991,3,65
"39","53-BON-L",2019-07-16,"BON","L",7.6524076454603,604.662853563393,593.020600106544,57.0333333333333,41.3,13.2,853.498532723672,41.6035891725518,0.897533563444986,2019-07-16,22,46,18,0,1.68291555928887,-0.45633014451027,0.692046476864355,0.0237164951281106,-0.0653986199748803,1,46
"40","01-BON-L",2019-07-24,"BON","L",1.66418549141911,162.511887062131,162.252289447079,51.2,71.3,0.8,205.194071091976,33.1990228951044,0.716217949330046,2019-07-08,14,NA,22,16,-0.971178155878035,-0.744528010562806,0.494708553425291,0.0351243087230567,-0.0397306355291947,3,49.7627118644068
